"voterid","civicduty","hawthorne","self","neighbors","control"
"V021627",0,0,0,1,0
"V091543",0,1,0,0,0
"V134775",0,0,1,0,0
"V006595",0,0,0,1,0
"V069530",0,0,0,0,1
"V074043",1,0,0,0,0
"V084245",0,1,0,0,0
"V132622",0,0,1,0,0
"V015969",0,0,1,0,0
"V002395",0,1,0,0,0
"V011225",0,0,0,0,1
"V123373",0,1,0,0,0
"V077631",0,0,0,0,1
"V014364",0,1,0,0,0
"V028793",0,0,0,1,0
"V064382",0,0,0,1,0
"V069634",0,0,0,0,1
"V084050",1,0,0,0,0
"V043789",1,0,0,0,0
"V065969",0,1,0,0,0
"V040338",0,0,0,0,1
"V108073",1,0,0,0,0
"V098591",1,0,0,0,0
"V098004",0,0,0,0,1
"V010300",0,0,1,0,0
"V009249",0,0,0,1,0
"V039480",1,0,0,0,0
"V099028",0,0,1,0,0
"V105143",0,1,0,0,0
"V068568",0,0,0,0,1
"V121495",0,0,1,0,0
"V010611",0,0,1,0,0
"V002889",0,1,0,0,0
"V051203",0,0,1,0,0
"V000976",0,0,0,0,1
"V097159",0,0,0,0,1
"V079728",0,0,0,1,0
"V074482",0,0,0,1,0
"V070644",0,1,0,0,0
"V117807",0,0,0,0,1
"V054145",0,0,0,0,1
"V086663",0,0,0,0,1
"V089429",1,0,0,0,0
"V066528",1,0,0,0,0
"V033991",0,1,0,0,0
"V007678",0,0,1,0,0
"V112224",0,0,0,0,1
"V049122",0,0,0,0,1
"V046740",0,0,0,1,0
"V010807",0,0,1,0,0
"V125280",0,0,0,0,1
"V042782",1,0,0,0,0
"V079500",0,1,0,0,0
"V041464",0,1,0,0,0
"V052950",1,0,0,0,0
"V005969",1,0,0,0,0
"V014962",0,1,0,0,0
"V040501",1,0,0,0,0
"V103200",0,1,0,0,0
"V110835",1,0,0,0,0
"V010990",0,0,0,0,1
"V123453",1,0,0,0,0
"V105877",0,0,0,1,0
"V100622",0,0,0,0,1
"V064334",0,0,0,1,0
"V124617",0,0,0,1,0
"V117396",1,0,0,0,0
"V073639",0,0,0,1,0
"V013251",0,1,0,0,0
"V022403",0,0,1,0,0
"V024682",0,1,0,0,0
"V055695",0,0,0,1,0
"V079288",0,1,0,0,0
"V099651",0,0,1,0,0
"V122004",0,0,0,1,0
"V097843",0,0,0,0,1
"V052408",0,0,0,1,0
"V030856",0,0,1,0,0
"V036182",0,1,0,0,0
"V105910",0,0,0,0,1
"V051801",0,1,0,0,0
"V096242",0,0,0,1,0
"V056459",1,0,0,0,0
"V136144",0,0,0,1,0
"V000867",0,0,0,1,0
"V019999",0,0,0,1,0
"V087959",0,0,0,0,1
"V023191",0,0,1,0,0
"V000786",0,0,0,0,1
"V022829",0,0,1,0,0
"V120177",0,0,0,0,1
"V074827",1,0,0,0,0
"V091559",1,0,0,0,0
"V062947",1,0,0,0,0
"V092089",1,0,0,0,0
"V066456",0,0,1,0,0
"V063675",0,0,0,1,0
"V052177",0,0,0,1,0
"V121043",0,0,0,1,0
"V109471",0,0,0,0,1
"V108124",0,0,0,1,0
"V082242",0,1,0,0,0
"V048452",0,0,0,1,0
"V030650",0,1,0,0,0
"V000967",0,1,0,0,0
"V077426",0,0,0,1,0
"V044441",0,0,0,0,1
"V035430",0,1,0,0,0
"V135195",1,0,0,0,0
"V134821",0,0,0,0,1
"V019445",0,0,0,0,1
"V082553",0,0,0,0,1
"V110308",0,0,0,0,1
"V028430",0,1,0,0,0
"V132751",0,0,0,1,0
"V128287",0,1,0,0,0
"V046367",0,0,1,0,0
"V031368",0,0,0,1,0
"V056753",0,1,0,0,0
"V054000",0,0,1,0,0
"V009373",0,1,0,0,0
"V135151",0,1,0,0,0
"V069114",0,0,1,0,0
"V013183",0,0,0,1,0
"V107625",0,0,0,0,1
"V010779",0,0,0,1,0
"V033206",0,0,1,0,0
"V134491",0,0,0,0,1
"V008290",0,0,1,0,0
"V069709",0,0,0,0,1
"V102214",0,0,0,0,1
"V045855",0,1,0,0,0
"V122051",0,0,0,0,1
"V077099",0,0,0,1,0
"V033925",1,0,0,0,0
"V060153",0,0,1,0,0
"V138563",0,0,1,0,0
"V015413",0,0,0,0,1
"V051307",1,0,0,0,0
"V093586",0,0,0,1,0
"V108917",0,0,0,0,1
"V090431",0,0,0,1,0
"V121584",0,0,1,0,0
"V134190",0,0,0,0,1
"V126020",1,0,0,0,0
"V056897",0,0,0,1,0
"V105688",0,0,0,0,1
"V120868",0,1,0,0,0
"V038088",0,1,0,0,0
"V050501",0,0,1,0,0
"V120730",0,0,1,0,0
"V086422",0,0,0,1,0
"V114062",0,1,0,0,0
"V034968",1,0,0,0,0
"V018325",0,0,1,0,0
"V026103",0,0,0,0,1
"V088264",0,0,0,1,0
"V040802",0,1,0,0,0
"V061140",1,0,0,0,0
"V021874",1,0,0,0,0
"V085050",0,0,1,0,0
"V098377",0,0,0,1,0
"V131331",1,0,0,0,0
"V130336",0,1,0,0,0
"V031618",0,0,0,0,1
"V045670",0,0,0,0,0
"V081383",0,0,1,0,0
"V019904",0,1,0,0,0
"V137906",1,0,0,0,0
"V100906",0,0,1,0,0
"V056912",0,1,0,0,0
"V018503",0,1,0,0,0
"V013376",0,1,0,0,0
"V015264",0,0,0,1,0
"V009457",1,0,0,0,0
"V000600",0,1,0,0,0
"V093745",0,0,0,0,1
"V135694",0,0,0,0,1
"V082575",0,0,1,0,0
"V012868",0,0,0,0,1
"V100638",0,0,1,0,0
"V070138",0,0,0,1,0
"V054170",0,0,1,0,0
"V104598",1,0,0,0,0
"V091251",0,0,1,0,0
"V052340",0,1,0,0,0
"V018010",0,1,0,0,0
"V079113",0,0,0,1,0
"V035776",1,0,0,0,0
"V091854",0,0,0,0,1
"V021527",1,0,0,0,0
"V057513",0,1,0,0,0
"V009160",0,0,0,0,1
"V079769",1,0,0,0,0
"V076601",0,0,0,0,1
"V132733",0,0,0,0,1
"V078868",1,0,0,0,0
"V115210",0,1,0,0,0
"V047699",0,1,0,0,0
"V108601",0,1,0,0,0
"V050399",0,0,0,0,1
"V125808",1,0,0,0,0
"V058251",0,0,1,0,0
"V124967",0,0,1,0,0
"V092386",0,1,0,0,0
"V003890",0,1,0,0,0
"V015558",1,0,0,0,0
"V091595",0,1,0,0,0
"V056634",0,1,0,0,0
"V021762",1,0,0,0,0
"V036646",0,1,0,0,0
"V064984",0,0,1,0,0
"V023523",0,1,0,0,0
"V061100",0,0,0,0,1
"V066485",0,1,0,0,0
"V007273",0,0,0,1,0
"V004064",0,1,0,0,0
"V058171",0,0,0,0,1
"V105529",0,0,0,1,0
"V021693",0,1,0,0,0
"V001233",0,0,0,0,1
"V040529",0,1,0,0,0
"V107988",1,0,0,0,0
"V105114",1,0,0,0,0
"V020793",0,1,0,0,0
"V101507",0,0,0,1,0
"V123420",1,0,0,0,0
"V135062",0,0,1,0,0
"V084876",0,0,0,1,0
"V125124",0,1,0,0,0
"V097602",0,0,0,1,0
"V089113",0,0,0,0,1
"V024313",0,0,0,0,1
"V139080",0,1,0,0,0
"V039994",0,0,0,1,0
"V062932",0,0,1,0,0
"V015571",0,0,0,0,1
"V074576",1,0,0,0,0
"V107812",1,0,0,0,0
"V044639",0,0,0,1,0
"V087235",0,0,0,1,0
"V108410",0,0,0,1,0
"V020835",0,0,0,0,1
"V080943",0,0,0,1,0
"V090865",1,0,0,0,0
"V077633",1,0,0,0,0
"V135401",0,1,0,0,0
"V039103",0,0,0,0,1
"V138202",0,0,0,0,1
"V070011",0,0,1,0,0
"V076266",0,0,0,1,0
"V064844",1,0,0,0,0
"V130894",0,0,0,0,1
"V016172",0,1,0,0,0
"V038720",0,0,0,0,1
"V034558",0,1,0,0,0
"V132110",0,0,0,0,1
"V038324",0,0,1,0,0
"V130217",1,0,0,0,0
"V028150",1,0,0,0,0
"V029938",1,0,0,0,0
"V048202",0,0,0,0,1
"V080774",0,0,1,0,0
"V103520",0,0,0,0,1
"V098601",0,1,0,0,0
"V063982",0,0,0,0,1
"V100866",0,0,0,1,0
"V015805",1,0,0,0,0
"V028726",0,0,0,0,1
"V136068",0,0,0,0,1
"V038931",0,1,0,0,0
"V082371",1,0,0,0,0
"V107260",1,0,0,0,0
"V112187",0,0,1,0,0
"V057922",0,0,0,0,1
"V061472",0,0,0,0,1
"V081431",0,0,1,0,0
"V043969",0,0,0,1,0
"V022941",1,0,0,0,0
"V011368",0,0,0,1,0
"V057005",0,1,0,0,0
"V072199",0,0,0,0,1
"V029308",0,1,0,0,0
"V073752",1,0,0,0,0
"V034553",0,0,0,1,0
"V061873",0,0,0,0,1
"V059387",0,0,0,1,0
"V110785",0,0,1,0,0
"V000654",0,0,1,0,0
"V136825",0,0,0,1,0
"V110052",0,1,0,0,0
"V005968",0,0,0,1,0
"V077821",0,1,0,0,0
"V030324",0,0,0,1,0
"V125085",0,0,0,1,0
"V041483",0,0,0,1,0
"V064194",0,0,1,0,0
"V080344",1,0,0,0,0
"V031470",0,0,0,1,0
"V100492",0,0,0,0,1
"V026516",0,0,0,0,1
"V042482",0,0,0,1,0
"V132565",0,0,0,1,0
"V105232",0,0,0,0,1
"V109728",0,1,0,0,0
"V052249",0,0,1,0,0
"V075153",1,0,0,0,0
"V130385",1,0,0,0,0
"V074409",0,1,0,0,0
"V134229",0,0,0,1,0
"V044615",0,1,0,0,0
"V089581",0,1,0,0,0
"V049483",0,1,0,0,0
"V110255",0,0,0,0,1
"V053609",0,0,0,0,1
"V095257",0,1,0,0,0
"V012188",0,0,0,1,0
"V078260",0,0,0,0,1
"V084739",1,0,0,0,0
"V002600",0,0,1,0,0
"V127568",0,1,0,0,0
"V024519",0,0,0,1,0
"V006698",0,0,1,0,0
"V001453",0,1,0,0,0
"V112632",1,0,0,0,0
"V100136",0,0,0,0,1
"V106343",1,0,0,0,0
"V130901",1,0,0,0,0
"V042807",0,1,0,0,0
"V059882",1,0,0,0,0
"V067883",0,0,0,1,0
"V056945",0,0,1,0,0
"V039115",1,0,0,0,0
"V008549",0,0,0,0,1
"V043090",1,0,0,0,0
"V068126",1,0,0,0,0
"V030497",1,0,0,0,0
"V011309",0,0,1,0,0
"V041055",0,0,0,0,1
"V121591",0,0,1,0,0
"V022655",1,0,0,0,0
"V064502",0,1,0,0,0
"V057042",0,0,1,0,0
"V098785",0,0,1,0,0
"V020248",0,0,1,0,0
"V073482",0,0,0,1,0
"V071400",1,0,0,0,0
"V131045",0,1,0,0,0
"V059580",0,1,0,0,0
"V080938",0,0,0,1,0
"V116846",1,0,0,0,0
"V092498",0,1,0,0,0
"V129206",0,1,0,0,0
"V081013",0,0,1,0,0
"V076621",0,1,0,0,0
"V050009",0,0,1,0,0
"V097567",0,0,0,0,1
"V060581",0,1,0,0,0
"V057023",0,1,0,0,0
"V046804",0,0,0,1,0
"V059060",0,0,1,0,0
"V048666",0,0,0,0,1
"V110742",1,0,0,0,0
"V066539",0,0,1,0,0
"V109311",0,0,1,0,0
"V055573",0,0,1,0,0
"V032344",0,0,0,1,0
"V010830",0,0,1,0,0
"V037197",0,0,1,0,0
"V017247",0,0,0,1,0
"V099098",0,1,0,0,0
"V026215",0,1,0,0,0
"V036429",0,0,1,0,0
"V076847",1,0,0,0,0
"V050667",0,0,1,0,0
"V112766",0,0,0,1,0
"V065605",0,1,0,0,0
"V074181",1,0,0,0,0
"V050098",0,0,1,0,0
"V015658",0,1,0,0,0
"V052839",0,0,0,1,0
"V087514",0,0,0,1,0
"V079563",0,0,1,0,0
"V066437",0,0,0,0,1
"V065132",0,1,0,0,0
"V040422",0,0,0,0,1
"V065280",0,1,0,0,0
"V119106",1,0,0,0,0
"V133801",0,0,0,1,0
"V136223",0,1,0,0,0
"V014141",0,0,0,1,0
"V070640",0,1,0,0,0
"V032029",0,0,1,0,0
"V075883",0,0,0,1,0
"V130060",1,0,0,0,0
"V107468",0,0,1,0,0
"V061617",0,0,0,0,1
"V001138",0,0,0,0,1
"V037688",0,0,0,0,1
"V102545",0,0,0,1,0
"V010559",1,0,0,0,0
"V075340",0,1,0,0,0
"V094213",0,0,0,0,1
"V046843",0,0,1,0,0
"V133956",0,1,0,0,0
"V123423",0,0,1,0,0
"V019718",0,0,1,0,0
"V086820",0,0,0,0,1
"V009472",1,0,0,0,0
"V037627",0,0,1,0,0
"V098159",1,0,0,0,0
"V024372",0,0,1,0,0
"V044086",0,1,0,0,0
"V044182",0,0,0,0,1
"V026070",0,0,1,0,0
"V039761",0,0,0,0,1
"V082705",1,0,0,0,0
"V044350",0,1,0,0,0
"V098030",1,0,0,0,0
"V079832",1,0,0,0,0
"V056990",1,0,0,0,0
"V117437",0,0,1,0,0
"V092240",0,0,0,0,1
"V135307",0,0,0,0,1
"V030641",1,0,0,0,0
"V017746",0,0,1,0,0
"V087516",1,0,0,0,0
"V004314",0,1,0,0,0
"V034652",0,1,0,0,0
"V140380",1,0,0,0,0
"V128907",0,0,0,0,1
"V135801",0,1,0,0,0
"V022315",0,0,0,0,1
"V109262",0,0,1,0,0
"V083435",0,0,1,0,0
"V056696",1,0,0,0,0
"V040487",0,0,0,0,1
"V042889",0,0,0,1,0
"V138748",0,0,0,0,1
"V045090",0,0,0,1,0
"V090002",0,0,0,1,0
"V009561",0,0,1,0,0
"V023030",0,0,0,1,0
"V015157",0,1,0,0,0
"V094385",0,0,1,0,0
"V116759",0,0,1,0,0
"V109928",0,0,0,1,0
"V082226",1,0,0,0,0
"V105596",0,0,0,0,1
"V079994",0,1,0,0,0
"V139775",1,0,0,0,0
"V139074",0,0,1,0,0
"V079506",0,0,1,0,0
"V084470",0,0,0,1,0
"V102093",0,0,0,0,1
"V099171",0,0,0,1,0
"V077310",0,0,0,1,0
"V058804",1,0,0,0,0
"V023513",0,0,1,0,0
"V109896",0,0,0,1,0
"V009874",0,1,0,0,0
"V063180",0,0,0,0,1
"V014602",0,0,1,0,0
"V110298",0,0,1,0,0
"V021900",0,0,0,1,0
"V107768",0,0,1,0,0
"V036026",0,0,0,1,0
"V049330",0,0,0,1,0
"V063618",0,1,0,0,0
"V077599",0,0,0,0,1
"V077478",0,0,1,0,0
"V011139",0,0,0,0,1
"V115100",0,1,0,0,0
"V061395",0,0,0,1,0
"V077272",0,0,0,1,0
"V116891",0,0,0,1,0
"V034799",0,1,0,0,0
"V097580",0,0,0,1,0
"V099345",0,1,0,0,0
"V129625",0,1,0,0,0
"V120715",0,0,0,1,0
"V030430",0,0,0,0,1
"V113291",0,0,0,1,0
"V080505",0,1,0,0,0
"V047061",0,0,0,0,1
"V008469",1,0,0,0,0
"V056618",0,1,0,0,0
"V026939",0,1,0,0,0
"V135596",0,0,0,1,0
"V140209",1,0,0,0,0
"V086803",1,0,0,0,0
"V035226",1,0,0,0,0
"V042070",0,0,1,0,0
"V074464",1,0,0,0,0
"V010881",1,0,0,0,0
"V014492",1,0,0,0,0
"V117924",0,0,0,0,1
"V022683",0,0,0,0,1
"V070587",0,0,0,0,1
"V090051",0,0,0,0,1
"V114064",0,0,0,1,0
"V090994",1,0,0,0,0
"V125331",0,1,0,0,0
"V052332",0,1,0,0,0
"V118062",0,0,0,1,0
"V124100",0,0,1,0,0
"V046952",0,0,0,1,0
"V019805",0,0,0,0,1
"V112564",0,0,1,0,0
"V068010",1,0,0,0,0
"V088536",1,0,0,0,0
"V088146",0,1,0,0,0
"V040873",1,0,0,0,0
"V114630",0,0,0,1,0
"V005240",0,0,0,1,0
"V136612",0,1,0,0,0
"V054700",1,0,0,0,0
"V021692",0,0,1,0,0
"V008350",0,0,1,0,0
"V027196",0,0,0,0,1
"V110754",0,1,0,0,0
"V072138",0,0,0,0,1
"V035654",1,0,0,0,0
"V094888",0,0,0,0,1
"V072017",1,0,0,0,0
"V055531",0,1,0,0,0
"V101034",0,0,0,0,1
"V003513",0,0,0,0,1
"V043731",0,1,0,0,0
"V071175",0,0,1,0,0
"V045791",0,0,0,1,0
"V090296",0,1,0,0,0
"V123954",0,0,0,0,1
"V130790",0,0,1,0,0
"V055793",0,0,0,1,0
"V074969",0,0,1,0,0
"V123206",0,0,0,1,0
"V003506",1,0,0,0,0
"V131935",0,0,1,0,0
"V024227",0,0,0,1,0
"V013910",0,1,0,0,0
"V132341",0,1,0,0,0
"V100226",1,0,0,0,0
"V017461",0,0,1,0,0
"V011672",0,0,0,0,1
"V052121",0,0,0,1,0
"V047620",0,1,0,0,0
"V090045",0,0,1,0,0
"V053061",1,0,0,0,0
"V107047",0,0,0,0,1
"V027102",0,1,0,0,0
"V111410",0,0,0,0,1
"V122909",1,0,0,0,0
"V101980",0,0,1,0,0
"V133351",0,0,1,0,0
"V000951",0,0,0,0,1
"V074925",0,0,1,0,0
"V011095",0,0,1,0,0
"V033099",0,0,1,0,0
"V092479",0,0,0,0,1
"V083661",0,0,0,0,1
"V006098",0,0,0,1,0
"V036017",0,0,0,1,0
"V080758",1,0,0,0,0
"V081748",0,0,0,1,0
"V096264",0,0,1,0,0
"V072651",0,0,0,1,0
"V039226",1,0,0,0,0
"V119074",1,0,0,0,0
"V108644",0,1,0,0,0
"V008802",1,0,0,0,0
"V135627",1,0,0,0,0
"V042509",0,0,0,0,1
"V065661",0,0,0,1,0
"V007804",0,0,1,0,0
"V040443",0,1,0,0,0
"V110123",1,0,0,0,0
"V088314",0,0,1,0,0
"V042468",0,1,0,0,0
"V063567",0,1,0,0,0
"V099547",0,0,0,0,1
"V075808",0,0,1,0,0
"V048818",0,0,1,0,0
"V114035",0,0,0,1,0
"V130746",0,0,0,0,1
"V120540",0,0,1,0,0
"V106933",0,0,0,0,1
"V019949",0,0,1,0,0
"V123604",1,0,0,0,0
"V021455",1,0,0,0,0
"V093347",0,1,0,0,0
"V139440",1,0,0,0,0
"V042650",0,1,0,0,0
"V125013",1,0,0,0,0
"V060675",0,0,0,1,0
"V069828",1,0,0,0,0
"V079474",1,0,0,0,0
"V020828",0,1,0,0,0
"V024316",0,0,0,0,1
"V074146",0,1,0,0,0
"V116650",0,0,0,0,0
"V078555",0,0,0,0,1
"V129034",1,0,0,0,0
"V128578",0,0,0,1,0
"V115652",0,0,1,0,0
"V137781",1,0,0,0,0
"V073997",0,1,0,0,0
"V083847",0,0,1,0,0
"V036701",0,0,1,0,0
"V094558",0,0,0,1,0
"V131268",1,0,0,0,0
"V021161",0,0,0,1,0
"V042593",0,0,1,0,0
"V057200",1,0,0,0,0
"V127250",0,0,0,0,1
"V040493",0,0,0,1,0
"V005263",0,0,0,0,1
"V112869",0,0,0,0,1
"V026549",0,0,0,1,0
"V056757",0,1,0,0,0
"V096700",0,0,1,0,0
"V050473",0,0,1,0,0
"V083110",0,0,0,0,1
"V060055",1,0,0,0,0
"V093424",0,1,0,0,0
"V108385",0,1,0,0,0
"V081346",0,0,0,1,0
"V004347",0,1,0,0,0
"V063153",0,1,0,0,0
"V114540",0,0,0,0,1
"V103379",0,1,0,0,0
"V042784",1,0,0,0,0
"V063140",1,0,0,0,0
"V074057",1,0,0,0,0
"V012706",0,0,0,0,1
"V080749",0,0,1,0,0
"V106404",0,1,0,0,0
"V057788",0,0,1,0,0
"V025984",0,0,0,1,0
"V080602",0,0,0,0,1
"V038986",0,1,0,0,0
"V136130",0,1,0,0,0
"V062041",0,0,0,0,1
"V050645",1,0,0,0,0
"V032750",0,0,0,0,1
"V082013",0,0,0,0,1
"V113782",0,1,0,0,0
"V113107",0,1,0,0,0
"V030978",1,0,0,0,0
"V036500",0,0,0,1,0
"V125785",1,0,0,0,0
"V037065",0,0,1,0,0
"V057060",1,0,0,0,0
"V018403",1,0,0,0,0
"V058614",1,0,0,0,0
"V023953",0,1,0,0,0
"V130061",1,0,0,0,0
"V110357",0,0,0,1,0
"V079564",0,0,0,0,1
"V045517",0,0,0,0,1
"V071915",0,0,0,1,0
"V031339",0,0,1,0,0
"V114941",0,1,0,0,0
"V047118",0,0,1,0,0
"V089349",0,0,0,1,0
"V023279",0,0,0,1,0
"V109227",0,0,0,1,0
"V001063",1,0,0,0,0
"V078249",0,0,1,0,0
"V029823",0,0,0,1,0
"V095328",0,0,1,0,0
"V006246",0,0,0,1,0
"V042243",0,0,1,0,0
"V010967",0,1,0,0,0
"V022866",0,1,0,0,0
"V093047",0,0,1,0,0
"V028916",0,0,1,0,0
"V100230",0,0,0,1,0
"V133690",0,0,0,0,1
"V043880",0,1,0,0,0
"V056161",0,1,0,0,0
"V051338",1,0,0,0,0
"V036912",0,0,1,0,0
"V124575",0,0,0,0,1
"V102910",0,0,0,0,1
"V138483",0,1,0,0,0
"V121296",0,0,0,1,0
"V134880",0,1,0,0,0
"V031103",0,0,1,0,0
"V040671",0,0,1,0,0
"V053062",0,0,0,1,0
"V026972",0,0,0,0,1
"V005682",0,0,0,0,1
"V136511",0,0,1,0,0
"V092521",0,0,0,0,1
"V100273",0,0,1,0,0
"V020725",1,0,0,0,0
"V096538",0,0,0,0,1
"V125364",0,0,1,0,0
"V108645",0,1,0,0,0
"V034172",0,1,0,0,0
"V006906",0,0,0,0,1
"V104450",0,0,0,0,1
"V105436",0,0,0,1,0
"V039775",0,0,0,0,1
"V067072",0,0,1,0,0
"V021286",0,0,0,0,1
"V003479",0,0,1,0,0
"V044874",0,0,0,0,1
"V068297",1,0,0,0,0
"V028100",0,0,0,1,0
"V047601",0,0,1,0,0
"V019224",0,1,0,0,0
"V065539",1,0,0,0,0
"V069886",1,0,0,0,0
"V060786",0,0,0,1,0
"V111957",0,0,0,0,1
"V048019",0,0,0,1,0
"V135896",1,0,0,0,0
"V025630",0,0,0,0,1
"V083092",0,0,1,0,0
"V053585",0,0,0,0,1
"V051180",1,0,0,0,0
"V119695",0,0,1,0,0
"V121045",0,1,0,0,0
"V048412",0,1,0,0,0
"V107442",0,0,0,0,1
"V103588",1,0,0,0,0
"V029134",0,0,0,1,0
"V059589",1,0,0,0,0
"V102290",0,0,0,0,1
"V096643",0,1,0,0,0
"V036081",0,1,0,0,0
"V116841",0,0,1,0,0
"V111128",0,0,0,0,1
"V089980",0,1,0,0,0
"V086746",0,0,0,1,0
"V121663",1,0,0,0,0
"V074578",0,0,1,0,0
"V029806",0,0,0,0,1
"V106018",0,0,0,0,1
"V139932",0,0,1,0,0
"V129122",0,0,1,0,0
"V053067",1,0,0,0,0
"V077499",1,0,0,0,0
"V123461",0,1,0,0,0
"V031111",0,1,0,0,0
"V055486",0,0,1,0,0
"V077280",0,0,1,0,0
"V059788",0,0,0,0,1
"V137654",1,0,0,0,0
"V077625",0,0,0,1,0
"V005997",0,0,0,1,0
"V036749",0,0,0,1,0
"V133390",0,1,0,0,0
"V043275",0,0,0,1,0
"V114388",0,0,0,1,0
"V029051",0,0,1,0,0
"V120780",1,0,0,0,0
"V022870",0,1,0,0,0
"V099821",0,0,0,0,1
"V088239",0,0,1,0,0
"V057655",0,1,0,0,0
"V058537",0,0,0,1,0
"V076244",1,0,0,0,0
"V004311",0,0,0,0,1
"V063661",0,0,0,0,1
"V083440",0,0,0,1,0
